"","data_dte","Year","Month","usg_apt_id","usg_apt","usg_wac","fg_apt_id","fg_apt","fg_wac","airlineid","carrier","carriergroup","type","Scheduled","Charter","Total"
"4725","02/01/2020",2020,2,10693,"BNA",54,16271,"YYZ",936,20206,"QK",0,"Passengers",5469,0,5469
"4726","02/01/2020",2020,2,11298,"DFW",74,12990,"LIR",110,19805,"AA",1,"Passengers",5469,0,5469
"4727","03/01/2020",2020,3,14771,"SFO",91,14677,"SAL",118,19574,"TA",0,"Passengers",5470,0,5470
"4728","01/01/2020",2020,1,14100,"PHL",23,12972,"LHR",493,19540,"BA",0,"Passengers",5470,0,5470
"4729","03/01/2020",2020,3,13204,"MCO",33,10711,"BOG",327,19537,"AV",0,"Passengers",5473,0,5473
"4730","02/01/2020",2020,2,12478,"JFK",22,13156,"MAD",482,19805,"AA",1,"Passengers",5475,0,5475
"4731","03/01/2020",2020,3,10721,"BOS",13,14739,"SDQ",224,20409,"B6",1,"Passengers",5477,0,5477
"4732","03/01/2020",2020,3,10821,"BWI",32,10411,"AUA",277,19393,"WN",1,"Passengers",5477,0,5477
"4733","01/01/2020",2020,1,14100,"PHL",23,11032,"CUN",148,20436,"F9",1,"Passengers",5480,0,5480
"4734","02/01/2020",2020,2,12892,"LAX",91,11435,"DUB",441,19623,"EI",0,"Passengers",5485,0,5485
"4735","02/01/2020",2020,2,10397,"ATL",34,13156,"MAD",482,19790,"DL",1,"Passengers",5486,0,5486
"4736","03/01/2020",2020,3,10721,"BOS",13,10920,"CDG",427,19532,"AF",0,"Passengers",5486,0,5486
"4737","02/01/2020",2020,2,14831,"SJC",91,13744,"NRT",736,19791,"NH",0,"Passengers",5487,0,5487
"4738","02/01/2020",2020,2,11618,"EWR",22,16271,"YYZ",936,20445,"C5",1,"Passengers",5489,0,5489
"4739","01/01/2020",2020,1,13204,"MCO",33,16078,"YHM",936,22067,"WO",0,"Passengers",5495,0,5495
"4740","02/01/2020",2020,2,11697,"FLL",33,15013,"STI",224,20416,"NK",1,"Passengers",5496,0,5496
"4741","01/01/2020",2020,1,11618,"EWR",22,16217,"YUL",941,21611,"KV",0,"Passengers",5496,0,5496
"4742","01/01/2020",2020,1,14747,"SEA",93,11760,"FRA",429,20120,"DE",0,"Passengers",5500,0,5500
"4743","03/01/2020",2020,3,12478,"JFK",22,10920,"CDG",427,19790,"DL",1,"Passengers",5501,0,5501
"4744","01/01/2020",2020,1,14869,"SLC",87,11874,"GDL",148,20250,"5D",0,"Passengers",5501,0,5501
"4745","03/01/2020",2020,3,11697,"FLL",33,14838,"SJO",110,19393,"WN",1,"Passengers",5507,0,5507
"4746","03/01/2020",2020,3,10721,"BOS",13,11032,"CUN",148,20409,"B6",1,"Passengers",5521,0,5521
"4747","02/01/2020",2020,2,12016,"GUM",5,14299,"PUS",778,21659,"BX",0,"Passengers",5522,0,5522
"4748","02/01/2020",2020,2,14747,"SEA",93,10920,"CDG",427,19532,"AF",0,"Passengers",5522,0,5522
"4749","03/01/2020",2020,3,12173,"HNL",2,13744,"NRT",736,19790,"DL",1,"Passengers",5523,0,5523
"4750","03/01/2020",2020,3,13891,"ONT",91,15306,"TPE",781,19544,"CI",0,"Passengers",5524,0,5524
"4751","03/01/2020",2020,3,15304,"TPA",33,16271,"YYZ",936,20229,"WS",0,"Passengers",5527,0,5527
"4752","02/01/2020",2020,2,11433,"DTW",43,16271,"YYZ",936,20304,"OO",1,"Passengers",5531,0,5531
"4753","03/01/2020",2020,3,12478,"JFK",22,12991,"LIS",469,19576,"TP",0,"Passengers",5540,0,5540
"4754","01/01/2020",2020,1,14683,"SAT",74,13252,"MEX",148,20250,"5D",0,"Passengers",5543,0,5543
"4755","03/01/2020",2020,3,12953,"LGA",22,16217,"YUL",941,20363,"9E",1,"Passengers",5550,0,5550
"4756","02/01/2020",2020,2,13303,"MIA",33,10486,"BAQ",327,19537,"AV",0,"Passengers",5551,0,5551
"4757","03/01/2020",2020,3,14262,"PSP",91,16042,"YEG",916,20229,"WS",0,"Passengers",5552,0,5552
"4758","03/01/2020",2020,3,12758,"KOA",2,16229,"YVR",906,20229,"WS",0,"Passengers",5559,0,5559
"4759","02/01/2020",2020,2,11618,"EWR",22,11124,"CPT",562,19977,"UA",1,"Passengers",5560,0,5560
"4760","01/01/2020",2020,1,12478,"JFK",22,13043,"LOS",555,19790,"DL",1,"Passengers",5563,0,5563
"4761","01/01/2020",2020,1,14869,"SLC",87,14312,"PVR",148,19790,"DL",1,"Passengers",5563,0,5563
"4762","03/01/2020",2020,3,14747,"SEA",93,12277,"ICN",778,19790,"DL",1,"Passengers",5564,0,5564
"4763","03/01/2020",2020,3,11057,"CLT",36,14293,"PUJ",224,19805,"AA",1,"Passengers",5567,0,5567
"4764","03/01/2020",2020,3,12892,"LAX",91,13744,"NRT",736,19548,"JL",0,"Passengers",5567,0,5567
"4765","03/01/2020",2020,3,10397,"ATL",34,15513,"UVF",276,19790,"DL",1,"Passengers",5567,0,5567
"4766","01/01/2020",2020,1,14843,"SJU",3,10711,"BOG",327,19537,"AV",0,"Passengers",5568,0,5568
"4767","02/01/2020",2020,2,14747,"SEA",93,11760,"FRA",429,20120,"DE",0,"Passengers",5568,0,5568
"4768","02/01/2020",2020,2,13930,"ORD",41,13252,"MEX",148,19534,"AM",0,"Passengers",5569,0,5569
"4769","02/01/2020",2020,2,11292,"DEN",82,11874,"GDL",148,21351,"Y4",0,"Passengers",5572,0,5572
"4770","03/01/2020",2020,3,13303,"MIA",33,16271,"YYZ",936,19531,"AC",0,"Passengers",5573,0,5573
"4771","03/01/2020",2020,3,13487,"MSP",63,13180,"MBJ",243,20422,"SY",1,"Passengers",5577,0,5577
"4772","02/01/2020",2020,2,10397,"ATL",34,13043,"LOS",555,19790,"DL",1,"Passengers",5578,0,5578
"4773","01/01/2020",2020,1,14747,"SEA",93,10920,"CDG",427,19532,"AF",0,"Passengers",5583,0,5583
"4774","02/01/2020",2020,2,14100,"PHL",23,10292,"AMS",461,19805,"AA",1,"Passengers",5584,0,5584
"4775","01/01/2020",2020,1,12478,"JFK",22,16257,"YYC",916,20229,"WS",0,"Passengers",5586,0,5586
"4776","01/01/2020",2020,1,12016,"GUM",5,11793,"FUK",736,19977,"UA",1,"Passengers",5587,0,5587
"4777","02/01/2020",2020,2,13930,"ORD",41,12651,"KEF",439,19546,"FI",0,"Passengers",5587,0,5587
"4778","02/01/2020",2020,2,13930,"ORD",41,10162,"ADD",522,20153,"ET",0,"Passengers",5588,0,5588
"4779","03/01/2020",2020,3,11292,"DEN",82,11032,"CUN",148,20436,"F9",1,"Passengers",5599,0,5599
"4780","03/01/2020",2020,3,13930,"ORD",41,10292,"AMS",461,19551,"KL",0,"Passengers",5603,0,5603
"4781","03/01/2020",2020,3,11433,"DTW",43,10920,"CDG",427,19532,"AF",0,"Passengers",5606,0,5606
"4782","03/01/2020",2020,3,11298,"DFW",74,11244,"CZM",148,19805,"AA",1,"Passengers",5609,0,5609
"4783","01/01/2020",2020,1,13204,"MCO",33,12651,"KEF",439,19546,"FI",0,"Passengers",5610,0,5610
"4784","02/01/2020",2020,2,13930,"ORD",41,10357,"ARN",484,19571,"SK",0,"Passengers",5612,0,5612
"4785","01/01/2020",2020,1,12478,"JFK",22,10521,"BDA",207,19790,"DL",1,"Passengers",5615,0,5615
"4786","03/01/2020",2020,3,14679,"SAN",91,16229,"YVR",906,20206,"QK",0,"Passengers",5617,0,5617
"4787","03/01/2020",2020,3,13487,"MSP",63,14293,"PUJ",224,19790,"DL",1,"Passengers",5617,0,5617
"4788","01/01/2020",2020,1,12264,"IAD",32,11290,"DEL",733,19533,"AI",0,"Passengers",5626,0,5626
"4789","02/01/2020",2020,2,12266,"IAH",74,11874,"GDL",148,19977,"UA",1,"Passengers",5626,0,5626
"4790","01/01/2020",2020,1,11697,"FLL",33,12693,"KIN",243,19542,"BW",0,"Passengers",5628,0,5628
"4791","01/01/2020",2020,1,15304,"TPA",33,12966,"LGW",493,21924,"DI",0,"Passengers",5633,0,5633
"4792","02/01/2020",2020,2,12264,"IAD",32,16271,"YYZ",936,21611,"KV",0,"Passengers",5634,0,5634
"4793","03/01/2020",2020,3,13303,"MIA",33,11760,"FRA",429,19554,"LH",0,"Passengers",5636,0,5636
"4794","02/01/2020",2020,2,13487,"MSP",63,13252,"MEX",148,19790,"DL",1,"Passengers",5642,0,5642
"4795","01/01/2020",2020,1,14747,"SEA",93,14309,"PVG",713,21271,"HU",0,"Passengers",5643,0,5643
"4796","02/01/2020",2020,2,11433,"DTW",43,16217,"YUL",941,20363,"9E",1,"Passengers",5645,0,5645
"4797","01/01/2020",2020,1,12478,"JFK",22,11874,"GDL",148,21351,"Y4",0,"Passengers",5646,0,5646
"4798","03/01/2020",2020,3,11292,"DEN",82,14312,"PVR",148,19393,"WN",1,"Passengers",5647,0,5647
"4799","01/01/2020",2020,1,11433,"DTW",43,11760,"FRA",429,19790,"DL",1,"Passengers",5649,0,5649
"4800","03/01/2020",2020,3,13303,"MIA",33,15084,"SXM",264,19805,"AA",1,"Passengers",5650,0,5650
"4801","01/01/2020",2020,1,13303,"MIA",33,11108,"COR",303,19805,"AA",1,"Passengers",5650,0,5650
"4802","03/01/2020",2020,3,12478,"JFK",22,10411,"AUA",277,19790,"DL",1,"Passengers",5654,0,5654
"4803","02/01/2020",2020,2,13303,"MIA",33,11444,"DUS",429,21728,"EW",0,"Passengers",5659,0,5659
"4804","02/01/2020",2020,2,14771,"SFO",91,12699,"KIX",736,19977,"UA",1,"Passengers",5659,0,5659
"4805","03/01/2020",2020,3,14869,"SLC",87,13252,"MEX",148,19790,"DL",1,"Passengers",5660,0,5660
"4806","02/01/2020",2020,2,11618,"EWR",22,16163,"YQB",941,20366,"EV",1,"Passengers",5662,0,5662
"4807","01/01/2020",2020,1,11697,"FLL",33,12693,"KIN",243,20416,"NK",1,"Passengers",5666,0,5666
"4808","01/01/2020",2020,1,11697,"FLL",33,11164,"CTG",327,20409,"B6",1,"Passengers",5666,0,5666
"4809","03/01/2020",2020,3,13204,"MCO",33,13252,"MEX",148,19534,"AM",0,"Passengers",5666,0,5666
"4810","03/01/2020",2020,3,12892,"LAX",91,12169,"HND",736,19791,"NH",0,"Passengers",5668,0,5668
"4811","03/01/2020",2020,3,10821,"BWI",32,11032,"CUN",148,20416,"NK",1,"Passengers",5680,0,5680
"4812","01/01/2020",2020,1,12892,"LAX",91,15258,"TLV",636,19558,"LY",0,"Passengers",5683,0,5683
"4813","03/01/2020",2020,3,14057,"PDX",92,14832,"SJD",148,19930,"AS",1,"Passengers",5684,0,5684
"4814","01/01/2020",2020,1,12266,"IAH",74,14681,"SAP",131,20416,"NK",1,"Passengers",5687,0,5687
"4815","02/01/2020",2020,2,14843,"SJU",3,13156,"MAD",482,19547,"IB",0,"Passengers",5689,0,5689
"4816","03/01/2020",2020,3,12892,"LAX",91,13594,"MZT",148,19930,"AS",1,"Passengers",5695,0,5695
"4817","03/01/2020",2020,3,11292,"DEN",82,13744,"NRT",736,19977,"UA",1,"Passengers",5700,0,5700
"4818","03/01/2020",2020,3,11618,"EWR",22,15402,"TXL",429,19977,"UA",1,"Passengers",5702,0,5702
"4819","02/01/2020",2020,2,12264,"IAD",32,13252,"MEX",148,19977,"UA",1,"Passengers",5702,0,5702
"4820","01/01/2020",2020,1,13930,"ORD",41,10411,"AUA",277,19977,"UA",1,"Passengers",5705,0,5705
"4821","03/01/2020",2020,3,10397,"ATL",34,16858,"IST",679,19821,"TK",0,"Passengers",5706,0,5706
"4822","02/01/2020",2020,2,11618,"EWR",22,16257,"YYC",916,19531,"AC",0,"Passengers",5706,0,5706
"4823","01/01/2020",2020,1,13204,"MCO",33,13180,"MBJ",243,20409,"B6",1,"Passengers",5707,0,5707
"4824","02/01/2020",2020,2,13487,"MSP",63,16257,"YYC",916,19790,"DL",1,"Passengers",5707,0,5707
"4825","03/01/2020",2020,3,13303,"MIA",33,12986,"LIM",368,20208,"TQQ",0,"Passengers",5708,0,5708
"4826","03/01/2020",2020,3,11618,"EWR",22,16321,"ZRH",486,20233,"LX",0,"Passengers",5709,0,5709
"4827","02/01/2020",2020,2,14831,"SJC",91,12972,"LHR",493,19540,"BA",0,"Passengers",5710,0,5710
"4828","03/01/2020",2020,3,12478,"JFK",22,12651,"KEF",439,19546,"FI",0,"Passengers",5710,0,5710
"4829","02/01/2020",2020,2,12264,"IAD",32,12972,"LHR",493,19682,"VS",0,"Passengers",5710,0,5710
"4830","01/01/2020",2020,1,12889,"LAS",85,10292,"AMS",461,19551,"KL",0,"Passengers",5713,0,5713
"4831","03/01/2020",2020,3,11298,"DFW",74,11760,"FRA",429,19805,"AA",1,"Passengers",5717,0,5717
"4832","01/01/2020",2020,1,10821,"BWI",32,11032,"CUN",148,20416,"NK",1,"Passengers",5717,0,5717
"4833","03/01/2020",2020,3,11298,"DFW",74,12010,"GUA",127,19805,"AA",1,"Passengers",5718,1803,7521
"4834","03/01/2020",2020,3,12478,"JFK",22,15258,"TLV",636,19790,"DL",1,"Passengers",5730,0,5730
